zipcode,rate
64148,99.53
67118,99.53
40813,99.53
18229,99.53
51012,99.53
79168,99.53
54923,
67651,99.53
49448,99.53
27702,99.53
47387,99.53
50014,99.53
33608,99.53
06239,99.53
54919,99.53
46706,
14846,
48872,
43343,
77052,99.53
07734,99.53
95327,99.53
12961,99.53
26716,99.53
48435,
53181,99.53
52654,99.53
58703,99.53
91945,99.53
52146,99.53
56097,
21777,99.53
42330,99.53
38849,99.53
77586,99.53
39745,99.53
03299,99.53
63359,
60094,99.53
15935,99.53
39845,99.53
48418,
28411,99.53
37333,99.53
75939,99.53
07184,99.53
86313,99.53
61232,99.53
20047,99.53
47452,
31551,99.53